Time,tension_value
2025-09-09T11:45:00,403.7
2025-09-09T12:00:00,403.8
2025-09-09T12:15:00,403.1
2025-09-09T12:30:00,402.2
2025-09-09T12:45:00,402.2
2025-09-09T13:00:00,402.2
2025-09-09T13:15:00,402.3
2025-09-09T13:30:00,401.9
2025-09-09T13:45:00,401.1
2025-09-09T14:00:00,401.4
2025-09-09T14:15:00,402.0
2025-09-09T14:30:00,404.7
2025-09-09T14:45:00,404.9
2025-09-09T15:00:00,405.2
2025-09-09T15:15:00,405.6
2025-09-09T15:30:00,405.6
2025-09-09T15:45:00,405.8
2025-09-09T16:00:00,406.7
2025-09-09T16:15:00,407.1
2025-09-09T16:30:00,408.6
2025-09-09T16:45:00,404.0
2025-09-09T17:00:00,405.9
2025-09-09T17:15:00,406.8
2025-09-09T17:30:00,407.7
2025-09-09T17:45:00,404.7
2025-09-09T18:00:00,405.2
2025-09-09T18:15:00,406.8
2025-09-09T18:30:00,398.7
2025-09-09T18:45:00,399.6
2025-09-09T19:00:00,401.9
2025-09-09T19:15:00,401.5
2025-09-09T19:30:00,401.9
2025-09-09T19:45:00,401.4
2025-09-09T20:00:00,401.4
2025-09-09T20:15:00,401.2
2025-09-09T20:30:00,401.6
2025-09-09T20:45:00,401.4
2025-09-09T21:00:00,401.0
2025-09-09T21:15:00,400.9
2025-09-09T21:30:00,400.9
2025-09-09T21:45:00,401.8
2025-09-09T22:00:00,401.7
2025-09-09T22:15:00,402.0
2025-09-09T22:30:00,401.0
2025-09-09T22:45:00,401.0
2025-09-09T23:00:00,401.2
2025-09-09T23:15:00,401.8
2025-09-09T23:30:00,401.7
2025-09-09T23:45:00,402.0
2025-09-10T00:00:00,401.9
2025-09-10T00:15:00,402.3
2025-09-10T00:30:00,402.7
2025-09-10T00:45:00,403.1
2025-09-10T01:00:00,403.8
2025-09-10T01:15:00,403.8
2025-09-10T01:30:00,403.7
2025-09-10T01:45:00,404.0
2025-09-10T02:00:00,404.5
2025-09-10T02:15:00,405.2
2025-09-10T02:30:00,406.3
2025-09-10T02:45:00,406.1
2025-09-10T03:00:00,406.0
2025-09-10T03:15:00,405.8
2025-09-10T03:30:00,406.5
2025-09-10T03:45:00,406.8
2025-09-10T04:00:00,407.1
2025-09-10T04:15:00,408.2
2025-09-10T04:30:00,407.9
2025-09-10T04:45:00,408.4
2025-09-10T05:00:00,409.2
2025-09-10T05:15:00,404.7
2025-09-10T05:30:00,405.0
2025-09-10T05:45:00,406.9
2025-09-10T06:00:00,408.4
2025-09-10T06:15:00,408.0
2025-09-10T06:30:00,408.2
2025-09-10T06:45:00,407.6
2025-09-10T07:00:00,406.9
2025-09-10T07:15:00,406.1
2025-09-10T07:30:00,405.5
2025-09-10T07:45:00,403.1
2025-09-10T08:00:00,402.3
2025-09-10T08:15:00,401.0
2025-09-10T08:30:00,399.7
2025-09-10T08:45:00,399.7
2025-09-10T09:00:00,403.0
2025-09-10T09:15:00,402.6
2025-09-10T09:30:00,401.0
2025-09-10T09:45:00,400.7
2025-09-10T10:00:00,400.4
2025-09-10T10:15:00,400.6
2025-09-10T10:30:00,404.8
2025-09-10T10:45:00,403.5
2025-09-10T11:00:00,405.7
2025-09-10T11:15:00,405.1
2025-09-10T11:30:00,404.4
2025-09-10T11:45:00,404.3
